title,artist
R.I.P.,Playboi Carti
Benz,"Di-Meh, Slimka"
Ganja,"Ikaz Boi, Ateyaba,"
Western Union,"Di-Meh, Laylow"
Blocka,Di-Meh
Dynastie,"Slimka, Makala, Varnish La Piscine"
Mama,Maes
Tout oublier,"Angèle, Romeo Elvis"
Big Shit Talker,Dej Loaf
Falling Down (Bonus Track),"Lil Peep, XXXTentacion"
Jodeci Mob,Hamza
DEADPOOL,Famous Dex
Unforgettable (feat. Swae Lee),"French Montana,"
La vérité,"Lomepal, Orelsan"
Chambre 122,Koba LaD
Tout,Koba LaD
Jenny from da Blocka,"Sneazzy, Laylow,"
GT,Take a Mic
Salut,"Yaro, PLK"
Toxique,"Juice, Karlita Rose"
CVLF,H-LO
RVRE,"404Billy, Damso"
Wai petit frère,Take a Mic
Brolique,Take a Mic
Tout est mort,Take a Mic
Confiance,Take a Mic
Mode avion,Take a Mic
KKK,"Veerus, Freeze Corleone"
Mômes,Lomepal
Plus de larmes,Lomepal
Évidemment,Lomepal
1500,"Alpha Wann, OG L'enf"
Monster Truck,"2cheesemilkshake, ,"
Vendredi soir,Ico
Moment,Leith
Bae,"Caballero & JeanJass,"
L'huissier,Zed Yun Pavarotti
Ne Fuis Pas,2TH
Débrouillard,Kaaris
Toréador,VSO
Dans le vide,Josman
Slow (feat. Damso),Hamza
FeFe,Koba LaD
Fake Love,Di-Meh
Don Pablo,13 Block
Rechute,Vald
Valise,"Hornet La Frappe,"
Tesla,Nusky
Sakonveu,Yonn
Docteur,Les Alchimistes
Audigier (SkulaBanks),"Lord Esperanza,"
ByeBye,Bekar
Tony Hawk,Salut C'est Cool
Something Here for the Club (Vocal),Terrence Parker
Déchiré (feat. Orelsan),"Gringe, Orelsan"
Noticed,Lil Mosey
Seum,Vald
Mockingbird,Eminem
Mission,Take a Mic
La débrouille,BRVMSOO
Cruise,"Juice, Kaba"
Devil Eyes,Hippie Sabotage
Goutte d'eau,Ninho
Spleen,Dinos
Règlement Space #6,Doxx
4ZOO,Ledé Markson
Otage,Tsew The Kid
Khapta,"Heuss L'enfoiré,"
Ms. Jackson,Outkast
Sundress,A$AP Rocky
C'est pas grave,Columbine
Pumped Up Kicks,Foster the People
4-5,"Jok'air, R.O.C, Chich"
Speechless (feat. Erika Sirola),"Robin Schulz, Erika Sirola"
Hors de ma vue,Take a Mic
Mojo,Zola
Papers (feat. Ninho),"Zola, Ninho"
B.A.L,Zola
Qui nous l'empêche,L2B Gang
Cognitive,"Kodak Black, Lil Wayne"
Au DD,PNL
Parle pas trop,"Sneazzy, Caballero, ,"
Crazy (Tomorrowland Intro Mix),"Lost Frequencies,"
Deux frères,PNL
Maintenant,Jok'air
S'aimer en enfer,Seizur
Zolabeille,Zola
Act Like You Know,Fat Larry's Band
Raingurl,Yaeji
Tell Me Why,Sound Of Legend
High Hopes,Panic! At the Disco
Placebo,Dinos
Make That Move,Shalamar
Disco Inferno (Re-Recorded),The Trammps
Te Bote,"Nio Garcia, Darell,"
Commando,Niska
Flashé,Dinos
Iceberg Slim,Dinos
Hiver 2004,Dinos
Helsinki,Dinos
Bloody Mary (feat. Youssoupha),"Dinos, Youssoupha"
Club des 27,Jok'air
Indépendante (feat. Debbie Sparrow),"Jok'air, Debbie Sparrow"
LO1N (feat. Dissociated Largo),"ABESS, Dissociated Largo"
Taga,Youv Dee
Mercedes noire,Di-Meh
Amis d'avant,13 Block
CR,13 Block
Bombarder,13 Block
La reine du bal,Columbine
Où je vais,13 Block
Binks 2.0,13 Block
Old Town Road,Lil Nas X
Honey Henny,"Di-Meh, Caballero,"
Jeunesse,Di-Meh
Mortal Kombat,"Di-Meh, Makala"
Map monde,Di-Meh
All The Stars,"Kendrick Lamar,"
Shenmue,PNL
Celsius,PNL
Cœurs,PNL
Money (feat. Faouzia),"Ninho, Faouzia"
Cheum,Nekfeu
Menteur menteur,Nekfeu
Le bruit qui court,Nekfeu
Tricheur,"Nekfeu, Damso"
Koala mouillé,Nekfeu
Pixels,"Nekfeu, Crystal Kay"
MOWGLI II,PNL
Hombre,Take a Mic
Sacoche,Larry
Compte les hommes,"Nekfeu, Alpha Wann"
Energie sombre,Nekfeu
Sad Boy,Makala
Fumée verte,Panama Bende
JCVD,Jul
Elle est bonne sa mère,"Vegedream, Ninho"
Tudo Bem - La Relève,Loveni
Relance,"Loveni, Ichon"
Mac & Cheese,Hamza
Le coup du patron,"Dosseh, Gradur,"
Tahiti Bob,CG6
Binks (feat. Koba LaD),"100 Blaze, Koba LaD"
TerrainHoraireBoloss,Leto
Look Back at It,A Boogie Wit da Hoodie
We Own It (Fast & Furious),"2 Chainz, Wiz Khalifa"
Rue de la Roquette,Kazmi
Arms Around You (feat. Maluma & Swae Lee),"XXXTentacion, Lil Pump, ,"
Rock Out (feat. Brodinski),"Lil Reek, Brodinski"
Gaz,Larry
Lovebreak,"Tube & Berger, Milan Euringer"
Octane Sex,Lil Gnar
Traphouse,"Binks Beatz, Hamza"
Money,Cardi B
Goodbyes,"Post Malone, Young Thug"
Billets (feat. Ninho),"Capo Plaza, Ninho"
Clic clac (feat. 13 Block),"Hamza, 13 Block"
YPDS,Take a Mic
Oulala,Chilla
Gun salute,Kaaris
Problèmes,PLK
Bitch (feat. Vald),"Lefa, Vald"
Ma meilleure amie,Vald
Massa (feat. Mister V),"Dinor rdt, Mister V"
Pick Me Up Then Let Me Fall,Lil Rae
Philophobia,"Lil Rae, SadBoyCrush"
Ma guapa,"Hös Copperfield,"
A45,SKG
L'odeur du charbon,"Dosseh, Maes"
Autotune,Damso
Enzo (Malaa Remix),"DJ Snake, Sheck Wes, , ,"
HÉ OH,Gambi
Possédé,Djadja & Dinaz
La Guenav,Gambi
Lalala,"Y2K, Bbno$"
Mauvaise fréquentation,Dinor rdt
La flemme,MLVS
MDR (feat. Nikay & Drich),"Salakid, Drich, Nikay"
Tel Me,"Jul, Ninho"
Bling Bling,"Kaaris, Kalash Criminel,"
Gun Love Fiction,Makala
T Max,Popey
Tes parents (feat. Ninho),"Leto, Ninho"
Me Gusta,DTF
Rappelle-toi,"Naps, Heuss L'enfoiré"
Game over,Juice
Purple Noise,Boris Brejcha
L'ancien,Ninho
Ma teub,Mohand Baha
Las vegas,Jok'air
Comme tu es,"Jok'air, Alonzo"
Ghostface Killers (feat. Travis Scott),"21 Savage, Offset, ,"
Arai,PLK
Toute l'année (feat. Timal),"PLK, Timal"
Nana,PLK
Apogée,Juice
Bizz,Diddi Trix
Dans la ville,"DTF, N.O.S"
Mon gamos,DTF
Pasta,Larry
Nos souvenirs,"Jok'air, Chilla, Yseult"
Jok'travolta,Jok'air
Les yeux sont sur nous,Jok'air
Téla,Bekar
Popo,OBOY
Benibla freestyle,Lyonzon
Pour la moula,Djadja & Dinaz
Charbonner,Dinor rdt
Sankhara #3 (Lamelle),"Bolémvn, Landy"
La Peuf 4,Hornet La Frappe
Foufoune Palace,Luidji
Fusée,"MMZ, Jet"
Scarface,Booba
Rien à prouver,"Dibson, Elams"
Michel et ses khey,"Michel, Sneazzy"
Minuit 13 (feat. Christine and the Queens & Oxmo Puccino),"Hamza, Christine and the Queens,"
Avec Toi,OBOY
"Shook Ones, Part II","Everlast, Mobb Deep"
Training Day,Le A
POPOPOP,Gambi
Rodeo,"Lil Nas X, Cardi B"
Racks on Racks,Lil Pump
Gypsy Woman (She's Homeless) (Radio Edit),Crystal Waters
Bernardo Provenzano,BRVMSOO
Méchant méchant méchant,Kodes
Regarde-moi,Moji x Sboy
Ma génération,PLK
Maladresse,Laylow
Abdomen,Jok'air
Avant la douane,Jul
La mort a du goût,Bekar
El Dorado,"Hamza, Ramriddlz"
Coquillage,"Youv Dee, wondaGURL"
"City Lights, Pt. 2","Népal, wondaGURL"
Millésime,"Luidji, wondaGURL"
SOLITERRIEN,"Ikaz Boi, Damso"
Esperanza,Hilight Tribe
BAD DAYS,"Ikaz Boi, Hamza"
Woin Woin,"Larry, RK"
Ride It,Regard
Musica (feat. Ninho),"Soprano, Ninho"
Millenium,Joachim Pastor
800,Bekar
Sapologie,Bekar
Factice,Josman
Mack le Bizz Freestyle,Dinos
Jeune voyou cherche love,"A2H, Jok'air"
Un million par mois,Djadja & Dinaz
Batman,Kekra
ROXANNE,Arizona Zervas
Ne reviens pas,"Gradur, Heuss L'enfoiré"
Tout s'achète,"Kofs, Alonzo"
God Bless (feat. Damso),"Hamza, Damso"
Mi Amor,Hamza
R.A.C.,SCH
Verse la gnole,"Loveni, Myth Syzer,"
Bac +12 (feat. Koba LaD),"Hamza, Koba LaD"
Belek,Hamza
Back Up (feat. Wiz Khalifa),"Don Toliver, Wiz Khalifa"
RITMO (Bad Boys For Life),"Black Eyed Peas,"
Por La Vida,Hamza
Benzo (feat. Young ADZ),"Hamza, Young Adz"
Oseille,Hamza
Embourgeoisé,Hamza
G's Up Hoes Down,Hamza
Journal perso II,Vald
PISTOLET ROSE 2,Alpha Wann
Beyond Time,Waysons
We Got That Cool,"Yves V, Afrojack,"
Marie,Koba LaD
Distant,"Maes, Ninho"
MD (feat. Niska),"4Keus, Niska"
Loca (feat. Youv Dee),"Tsew The Kid, Youv Dee"
Weed,"Maes, Zed"
Double Bang 8,Leto
BEDO,Hornet La Frappe
Mémoire,Maes
Police,Maes
Blanche,"Maes, Booba"
Godzilla,"Eminem, Juice Wrld"
You Gon’ Learn,"Eminem, Royce da 5'9"","
Dans l'espace (feat. Heuss l'Enfoiré),"Gambi, Heuss L'enfoiré"
Monotonie,Ninho
Rockstar,RK
93% [Tijuana],"GLK, Landy, DA Uzi,"
Falling,Trevor Daniel
Life Is Good (feat. Drake),"Future, Drake"
Boulbi,Booba
Tout est calé (feat. Koba LaD),"Chily, Koba LaD"
24,IDK
Keskivonfer,Vald
Pardonne-moi,Sasso
Push The Feeling On (Mk Dub Revisited Edit),Nightcrawlers
What is Love,Haddaway
Cyanure (feat. Freeze Corleone),"Django, Freeze Corleone"
Elle sait,KIKESA
Éternité,"Jazzy Bazz, Nekfeu"
BURNING MAN (feat. Lomepal),"Laylow, Lomepal"
The Box,Roddy Ricch
Khaliss 2.0,Kodes
Too Many,Tyga
N°10,Booba
Sicario,"YL, Ninho"
À QUOI TU JOUES,Sneazzy
ZÉRO DÉTAIL,"Sneazzy, Nekfeu"
DIEU QUI ME GUIDE,"Sneazzy, Lefa"
MON PÈRE C'EST MA MÈRE,"Sneazzy, S.Pri Noir"
J'ENCAISSE,Sneazzy
IMESSAGE,Sneazzy
CIGARETTES,"Sneazzy, Arma Jackson"
6.3,"Naps, Ninho"
ÉTINCELLES,"Sneazzy, Nekfeu, ,"
Ride,"Di-Meh, Romeo Elvis"
HYBRIDE,"Eden Dillinger, Piège"
Double Bang 6,Leto
Aventador,Koba LaD
Méchant,Kodes
Freestyle Japon,100 Blaze
Ye te mogou,Chily
Seven Up,"Danitsa, Di-Meh,"
Ouest Side,Booba
Ouais ouais,"Booba, Mac Tyer"
Au fond de la classe,"Booba, Intouchable"
Biberon,"Bolémvn, Cdl, Chily"
500 €,Rim'K
Turbo,Rim'K
Promis (feat. PLK),"Timal, PLK"
Binta,Alonzo
Astronomia,"Vicetone, Tony Igy"
Glue,Bicep
Liquide rouge,Maes
Petite Bulle,Josman
L'amour du vide,HATIK
Angela,HATIK
C'est la cité,HATIK
Jour de paye,Booba
Validée,"Booba, Benash"
Légendaire,"GIMS, CHAKA 47"
Petit frère,IAM
Je danse le Mia,IAM
Question réponse,Larry
Dragovic,Maes
Nés sous la même étoile,IAM
Tout s’arrête,"Caballero & JeanJass,"
Cowboy,Hornet La Frappe
Plus rien à perdre,"Soprano, HATIK"
Yasska,"Sam's, Bosh, ALP"
No Idea,Don Toliver
Train de vie (feat. PLK),"Leto, PLK"
Changer de vie,Leto
GHETTO,Slimka
MEGATRON,Laylow
Docteur Lulu,"Zuukou mayzie, Osirus Jack"
Climax V 1.1,Emmanuel Top
L.K.T.E.B,13 Block
W (feat. Gunna),"Koffee, Gunna"
Enfant compliqué,Larry
Midnight,Rim'K
Pas vu pas pris,13 Block
Long Time (Intro),Playboi Carti
JAUNÉ,"Booba, Zed"
Basta,Moha La Squale
Routine,Larry
Crystal Lake (feat. Freeze Corleone),"Luv Resval, Freeze Corleone"
Fentanyl,Freeze Corleone
Argentique,Dinos
Interlude,SCH
Maille,"Youv Dee, Skuna"
Digestif,Alkpote
Roulette russe 7 #Thanos,Sadek
Tah sah,Lyonzon
BOÎTE 6 40 KIL,13 Block
SHORT VISION,"Varnish La Piscine,"
Téléporter,Tengo John
AMBITION,"Ikaz Boi, Kobo"
SupSup,Slimka
Take on Me,a-ha
Jolie demoiselle 2.0,"Key Largo, Alpha Wann"
Unemployed,Tierra Whack
Tabasco,Ico
Purification (Les marches de l'empereur Saison 3 / Episode 9),"Alkpote, Freeze Corleone"
Sundance,Népal
Honey,Zola
On Top,"Flume, T-shirt"
Djomb (Bien ou quoi),Bosh
Samantha,Ico
Un Cadeau,"Caballero & JeanJass, ,"
Je ne suis qu'un homme,Ichon
Noir ou blanc,"Ichon, Loveni"
San Frandisco,Dom Dolla
Siri 3,Ico
10K,"Bolémvn, Maes"
Euros,"RK, Maes"
Laisser faire,Nadjee
Goulag,Kaaris
